$$10180001$$|$$1,6328$$|$$2007$$|$$1$$|$$W-vleugelmuur van het Z-bruggehoofd over de Erasmusgracht^10in de Hoofdweg (x = vanaf zerk; y = onder deksteen)$$|$$W$$|184|-114|$$25B0004$$|POINT (118232.1 487629.64)
$$10180002$$|$$1,2952$$|$$2007$$|$$3$$|$$Jan van Galenstraat 279^10(op de hoogte van de raamdorpel)$$|$$N$$|-104|78|$$25D0087$$|POINT (118390.1 487347.1)
$$10180003$$|$$,9616$$|$$2007$$|$$1$$|$$Mercatorplein 34^10(x = van de dag van de poort)$$|$$W$$|17|54|$$25D0088$$|POINT (118490.0 487080.0)
$$10180005$$|$$2,1539$$|$$2007$$|$$1$$|$$Jan Evertsenstraat 155^10gevel Orteliuskade (x = onder de voeg van de sierplaat)$$|$$W$$|22|-135|$$$$|POINT (118330.0 487010.0)
$$10180006$$|$$1,2828$$|$$2007$$|$$0$$|$$De Leeuw van Vlaanderenstraat 1^10gevel Erasmusgracht$$|$$Z$$|41|47|$$$$|POINT (117880.0 487720.0)
$$10180010$$|$$1,0674$$|$$2007$$|$$0$$|$$Op de hoek van de James Rosskade en de Jan van Galenstraat^10aan de no-zijde van fietserstunnel$$|$$N$$|-19|30|$$$$|POINT (117956.8 487312.4)
$$10180015$$|$$5,3889$$|$$2007$$|$$0$$|$$Jan van Galenstraat NO-vleugel N-viadukt(134P) over RW A10^10$$|$$N$$|21|-13|$$$$|POINT (117928.1 487317.4)
$$10280001$$|$$2,0435$$|$$2007$$|$$0$$|$$Walmuur tegenover Kostverlorenkade 21 (x = vanaf rechtstand^10N-vleugel van O-landhoofd van de brug in de Clerqstraat)$$|$$W$$|92|-94|$$$$|POINT (119460.0 487060.0)
$$10280002$$|$$1,5906$$|$$2007$$|$$3$$|$$Elisabeth Wolffstraat 2 gevel aan Tweede Kostverlorenkade^10$$|$$N$$|-43|17|$$$$|POINT (119540.0 487160.0)
$$10280004$$|$$1,6556$$|$$2007$$|$$1$$|$$Admiraal de Ruijterweg 78^10$$|$$Z$$|54|116|$$$$|POINT (119117.1 487204.8)
$$10380001$$|$$2,6595$$|$$2007$$|$$7$$|$$Rozengracht 238^10(Brandweerpost)$$|$$Z$$|-45|82|$$$$|POINT (120110.0 487260.8)
$$10380002$$|$$2,4293$$|$$2007$$|$$0$$|$$Jan van Galenstraat 12^10(Gebouw Dienst van het Marktwezen)$$|$$Z$$|84|66|$$$$|POINT (119572.957 487685.703)
$$10380004$$|$$1,3558$$|$$2007$$|$$3$$|$$Lauriergracht 116^10(Jeugdhotel "De Laurier" ;y = boven betonplint)$$|$$Z$$|-27|56|$$$$|POINT (120392.0 487143.3)
$$10480003$$|$$2,3333$$|$$2007$$|$$13$$|$$Prinsengracht 279^10(Westerkerkstoren)$$|$$O$$|-76|-162|$$$$|POINT (120695.6 487520.9)
$$10480004$$|$$1,0542$$|$$2007$$|$$1$$|$$Prinsengracht 437^10(Gemeentelijk kledingmagazijn)$$|$$O$$|16|30|$$$$|POINT (120669.5 487110.0)
$$10480005$$|$$1,641$$|$$2007$$|$$13$$|$$Prinsenschool Spuistraat 239^10(Y = boven plint).$$|$$O$$|94|8|$$$$|POINT (121098.5 487148.1)
$$10480006$$|$$3,096$$|$$2000$$|$$7$$|$$Nieuwezijds Voorburgwal 147^10("Koninklijk Paleis" inspringend gedeelte)$$|$$W$$|-116|105|$$25G0143$$|POINT (121203.6 487342.7)
$$10480007$$|$$1,7681$$|$$2007$$|$$0$$|$$Oudezijds Voorburgwal 300^10("Bank van Lening no 1")$$|$$W$$|-411|-46|$$$$|POINT (121441.9 487096.7)
$$10480009$$|$$,9141$$|$$2007$$|$$0$$|$$Spuistraat 94^10$$|$$O$$|10|26|$$$$|POINT (121230.7 487617.1)
$$10480010$$|$$3,0129$$|$$2007$$|$$0$$|$$Koninklijk Paleis in de Mozes en Aaronstraat.^10$$|$$N$$|345|92|$$25G0385$$|POINT (121250.0 487410.0)
$$10480011$$|$$3,6222$$|$$2007$$|$$0$$|$$Koninklijk Paleis zijde Damplein in de vierde pijler rechts^10van de ingang (trappen).$$|$$O$$|126|66|$$25G0386$$|POINT (121260.0 487370.0)
$$10580001$$|$$2,1502$$|$$2007$$|$$7$$|$$Damrak 387^10(Toren "Beursgebouw")$$|$$NW$$|-250|75|$$25E0003$$|POINT (121507.5 487534.2)
$$10580002$$|$$2,4415$$|$$2000$$|$$7$$|$$Oudekerksplein 15 "Oudekerkstoren" rechts van de pilaster^10rechts van de ingang (x = pilaster  y = zandstenen plint).$$|$$NW$$|31|64|$$25E0004$$|POINT (121651.4 487497.2)
$$10580005$$|$$1,412$$|$$2007$$|$$1$$|$$Walmuur Geldersekade rechts van aanlegsteiger^10$$|$$O$$|52|-37|$$25E0011$$|POINT (121960.0 487690.0)
$$10580006$$|$$3,799$$|$$2007$$|$$1$$|$$'s-Gravenhekje 1 gevel Prins Hendrikkade van de "West^10Indische Compagnie"$$|$$NO$$|2317|144|$$$$|POINT (122380.0 487280.0)
$$10580007$$|$$3,6852$$|$$2000$$|$$1$$|$$Oudeschans 2^10(Noordwest gevel van de "Montelbaanstoren")$$|$$N$$|275|96|$$$$|POINT (122206.9 487243.6)
